order_id,product_variant_ids
1,"211,232,256,263,270,296,318"
2,"211,232,256,263,270"
3,"225,226,260,278,323"
4,"212,237,239,320"
5,"272,281,301,317"
6,"215,239,240,276,290,292"
7,"209,211,229,235,236,237,246"
8,"212,237,239,320"
9,"272,281,301,317"
10,"218,225,245,280,303,306,311,312"
11,"223,225,226,260,278,293,323"
12,"211,220,232,256,263,270"
13,"239,272,281,301,317"
14,"225,226,260,278,323"
15,"212,237,239,320"
16,"218,225,280,303,311,312"
17,"225,226,229,260,278,279,323"
18,"225,226,260,278,283,286,323"
19,"212,237,239,242,320"
20,"209,267,272"
21,"221,222,226,236,237,240,315,316"
22,"211,221,232,256,263,270,305"
23,"225,226,260,278,323"
24,"223,225,226,260,278,323"
25,"225,226,260,278,323"
26,"225,226,260,278,323,324"
27,"233,253,256,259,283,296,308,321"
28,"211,232,256,263,270"
29,"272,281,301,317"
30,"218,225,280,303,311,312"
31,"244,248,251,286"
32,"211,232,256,263,270"
33,"223,272,281,301,317"
34,"212,237,239,262,320"
35,"218,225,280,303,311,312"
36,"218,225,258,280,303,311,312"
37,"272,281,301,317"
38,"231,294,303,307,312"
39,"212,238,241,260,261,276,278,302"
40,"212,237,239,320"
41,"225,226,260,278,301,323"
42,"215,247,280,308"
43,"251,272,281,301,317"
44,"225,226,260,278,323"
45,"212,237,239,320"
46,"212,237,239,320"
47,"218,225,243,246,280,303,311,312"
48,"218,225,280,303,311,312"
49,"211,232,256,263,270"
50,"218,225,274,280,303,311,312"
51,"212,237,239,320"
52,"212,237,239,320"
53,"232,247,251,292"
54,"211,232,256,263,270,271"
55,"211,232,244,256,263,270,306"
56,"212,237,239,320"
57,"218,225,280,303,311,312"
58,"212,237,239,320"
59,"218,225,280,303,311,312"
60,"225,226,260,278,280,304,323"
61,"281,288,306,313"
62,"212,237,239,320"
63,"249,272,281,301,317"
64,"211,267,270,289,307,309,314"
65,"212,237,239,320"
66,"216,218,225,258,280,303,311,312"
67,"212,230,237,239,320"
68,"218,225,238,280,303,311,312"
69,"224,225,226,260,278,283,323"
70,"223,272,281,301,317"
71,"218,225,265,280,282,303,311,312"
72,"211,232,256,263,270,288"
73,"211,232,256,263,270"
74,"212,237,239,279,287,320"
75,"218,225,280,303,311,312"
76,"211,232,256,261,263,270,289"
77,"225,226,239,245,260,278,323"
78,"212,218,225,235,280,303,311,312"
79,"216,255,293,305,311,320"
80,"210,231,237,238,253,290,294,309"
81,"212,218,237,239,309,320"
82,"272,281,301,317"
83,"218,225,255,280,303,311,312"
84,"250,255,258,312"
85,"225,226,260,278,323"
86,"212,237,239,320"
87,"211,232,256,263,270,305"
88,"272,281,301,317"
89,"212,237,239,320"
90,"218,225,280,303,311,312"
91,"212,237,239,320"
92,"218,225,280,303,311,312"
93,"211,232,256,263,270,286"
94,"211,232,256,263,270"
95,"218,225,280,303,311,312,314"
96,"218,225,280,303,311,312"
97,"208,218,225,280,286,303,311,312"
98,"211,232,254,256,263,270"
99,"212,237,239,252,320"
100,"272,281,301,317"
101,"219,244,276,278,298,313,322"
102,"231,241,288"
103,"218,228,249,272"
104,"302,311,312"
105,"211,221,241,252"
106,"211,241,252,305"
107,"211,241,252"
108,"286,290,322"
109,"231,241,288"
110,"211,241,252"
111,"293,302,311,312"
112,"231,241,288,297"
113,"219,276,278,313,322"
114,"219,276,278,313,322"
115,"257,269,299,317,323"
116,"302,311,312"
117,"211,240,241,252,309"
118,"302,311,312"
119,"302,311,312"
120,"277,302,311,312,314"
121,"269,280,299,323"
122,"245,269,299,323"
123,"231,241,288"
124,"231,241,288"
125,"231,241,288,298"
